Reporter Name,Partner Name,Product Group,Indicator,2013,2014,2015,2016,2017,2018,Vizside,AVG
Europe & Central Asia,East Asia & Pacific,  All Products,Export (US$ Thousand),768730344,746749013.1,642615924.5,632186929.7,713997687.9,803258132.1,status,717923005.2
Europe & Central Asia,Europe & Central Asia,  All Products,Export (US$ Thousand),5184675709,5152051594,4297838177,4356598748,4801007161,5287448369,status,4846603293
Europe & Central Asia,Latin America & Caribbean,  All Products,Export (US$ Thousand),178351903.7,167138762.8,146089687.9,139606203.8,151524687.9,165985453.2,status,158116116.6
Europe & Central Asia,Middle East & North Africa,  All Products,Export (US$ Thousand),381858722.1,380036480.8,337576046.4,327164001,343978494.4,345579049.8,status,352698799.1
Europe & Central Asia,North America,  All Products,Export (US$ Thousand),495451950.2,518877859.9,507079755.2,503260983.8,533885264.1,599175870.4,status,526288613.9
Europe & Central Asia,South Asia,  All Products,Export (US$ Thousand),100184230.6,91633816.82,85114168.27,80856838.87,96657223.15,103072271.6,status,92919758.22
Europe & Central Asia,Sub-Saharan Africa,  All Products,Export (US$ Thousand),115711921.7,112780069,93435889.84,83035386.98,89598897.69,98396032.28,status,98826366.25
East Asia & Pacific,East Asia & Pacific,  All Products,Export (US$ Thousand),2994234375,2981862792,2723367293,2604117316,2881422829,3046344221,status,2871891471
East Asia & Pacific,Europe & Central Asia,  All Products,Export (US$ Thousand),822624455,866783593,792926700.7,811171277.1,886198191.2,904851163.8,status,847425896.8
East Asia & Pacific,Latin America & Caribbean,  All Products,Export (US$ Thousand),249510200.1,246788953.2,229559189.6,204564777,229984561.2,245251160.5,status,234276473.6
East Asia & Pacific,Middle East & North Africa,  All Products,Export (US$ Thousand),247374356.9,283659520,265629181.6,234544149.1,231016542.7,227931308.2,status,248359176.4
East Asia & Pacific,North America,  All Products,Export (US$ Thousand),791789217,837117006.7,848064226.7,823952310.6,887699993.4,925524634.9,status,852357898.2
East Asia & Pacific,South Asia,  All Products,Export (US$ Thousand),183498877.1,200162370.2,203271991.9,204263303.8,241106468.3,252127928.9,status,214071823.4
East Asia & Pacific,Sub-Saharan Africa,  All Products,Export (US$ Thousand),116539371.4,127621756.9,118913122.2,100021555.4,106462015.8,112663607.3,status,113703571.5
Latin America & Caribbean,East Asia & Pacific,  All Products,Export (US$ Thousand),159849933.7,152174858.9,131208345.4,134524244.2,161972637.3,187460130.4,status,154531691.7
Latin America & Caribbean,Europe & Central Asia,  All Products,Export (US$ Thousand),142156436.9,136720516.5,113732642.1,110995016.2,121023412.8,122890377.3,status,124586400.3
Latin America & Caribbean,Latin America & Caribbean,  All Products,Export (US$ Thousand),206666117.2,186369593.5,152981647.1,137697678.9,147669647.1,149600349.1,status,163497505.5
Latin America & Caribbean,Middle East & North Africa,  All Products,Export (US$ Thousand),28598175.16,27297998.45,23507164.75,23996269.18,27455505.86,25690251.64,status,26090894.17
Latin America & Caribbean,North America,  All Products,Export (US$ Thousand),430161880,444649514.3,417193739.8,404515675.9,436719188.9,448763269,status,430333878
Latin America & Caribbean,South Asia,  All Products,Export (US$ Thousand),16058883.71,17789292.92,14196601.67,13921124.35,19539199.8,15213633.04,status,16119789.25
Latin America & Caribbean,Sub-Saharan Africa,  All Products,Export (US$ Thousand),9361039.254,8295415.828,7250595.049,7067848.461,7336350.819,6681636.373,status,7665480.964
Middle East & North Africa,East Asia & Pacific,  All Products,Export (US$ Thousand),163796495.9,193085856,95165956.2,93346869.9,112251874.9,103675809.3,status,126887143.7
Middle East & North Africa,Europe & Central Asia,  All Products,Export (US$ Thousand),158926952.9,156928213.4,118779069,120100262,136753173.8,111889629.1,status,133896216.7
Middle East & North Africa,Latin America & Caribbean,  All Products,Export (US$ Thousand),10628922.36,10646667.96,7585871.046,7455811.933,8492857.512,7772405.801,status,8763756.102
Middle East & North Africa,Middle East & North Africa,  All Products,Export (US$ Thousand),122954322.4,127332151.2,113380917.7,108325637.2,137189162,137057833.1,status,124373337.3
Middle East & North Africa,North America,  All Products,Export (US$ Thousand),37432984.29,35747689.49,33285998.48,35629350.23,38976830.78,34828369.29,status,35983537.09
Middle East & North Africa,South Asia,  All Products,Export (US$ Thousand),56501268.65,56465076.15,38215910.56,43536982.21,50868475.45,45572416.04,status,48526688.18
Middle East & North Africa,Sub-Saharan Africa,  All Products,Export (US$ Thousand),16235621.41,17730758.55,13225143.98,13784247.34,23719072.43,20278724.22,status,17495594.66
North America,East Asia & Pacific,  All Products,Export (US$ Thousand),426317784.8,428962376,400503443.7,392852396.9,433554682,452468786.5,status,422443245
North America,Europe & Central Asia,  All Products,Export (US$ Thousand),361956833,370504466.3,350860236.8,350211804.2,368264131.3,408288432.2,status,368347650.6
North America,Latin America & Caribbean,  All Products,Export (US$ Thousand),420311228.9,434367613.1,397041235.3,374380905,403069765,439226783.7,status,411399588.5
North America,Middle East & North Africa,  All Products,Export (US$ Thousand),90418596.52,93513112.76,87166888.82,82414019.5,77896111.12,79272246.74,status,85113495.91
North America,North America,  All Products,Export (US$ Thousand),647302785.7,678019795.3,594768291.8,563834449.7,602259420.9,638222838.5,status,620734597
North America,South Asia,  All Products,Export (US$ Thousand),29705826.69,29626679.5,30063866.6,30665807.72,36002843.51,44782407.44,status,33474571.91
North America,Sub-Saharan Africa,  All Products,Export (US$ Thousand),25984181.27,27988294.22,20095528.03,15104473.29,15805475.02,17959123.41,status,20489512.54
Sub-Saharan Africa,East Asia & Pacific,  All Products,Export (US$ Thousand),80747357.55,78465414.47,40860614.75,43146916.36,62924434.12,65218618.17,status,61893892.57
Sub-Saharan Africa,Europe & Central Asia,  All Products,Export (US$ Thousand),110970294.7,108848302.3,51019219.01,58739955.39,75099123.06,84290213.9,status,81494518.06
Sub-Saharan Africa,Latin America & Caribbean,  All Products,Export (US$ Thousand),13146648.33,14298078.44,2014687.507,3712108.505,4311631.823,5807445.661,status,7215100.044
Sub-Saharan Africa,Middle East & North Africa,  All Products,Export (US$ Thousand),10942713.74,10278334.79,8120417.78,9342963.35,11208274.75,11774202.5,status,10277817.82
Sub-Saharan Africa,North America,  All Products,Export (US$ Thousand),29588389.71,21034417.24,12391785.81,16794369.45,21266674.8,18009358.74,status,19847499.29
Sub-Saharan Africa,South Asia,  All Products,Export (US$ Thousand),25796170.24,28755275.18,10912499.65,17380843.08,26015137.57,29065537.75,status,22987577.25
Sub-Saharan Africa,Sub-Saharan Africa,  All Products,Export (US$ Thousand),75911612.61,69387027.91,47188385.87,49367734.84,56748771.71,56538201.33,status,59190289.05
South Asia,East Asia & Pacific,  All Products,Export (US$ Thousand),91624995.38,77717322.85,68845853.76,63856239.61,81623431.43,83641931.34,status,77884962.4
South Asia,Europe & Central Asia,  All Products,Export (US$ Thousand),91983866.6,74462745,82560677.53,65604776.8,72891004.04,76344699.13,status,77307961.52
South Asia,Latin America & Caribbean,  All Products,Export (US$ Thousand),15473669.3,16264838.29,12125313.02,11013158.74,12683408.88,13624803.61,status,13530865.31
South Asia,Middle East & North Africa,  All Products,Export (US$ Thousand),76927570.01,73337670.59,58683867.7,54915643.67,55677882.58,58023555.85,status,62927698.4
South Asia,North America,  All Products,Export (US$ Thousand),56729936.4,51717306.87,56554464.38,50717448.46,55377630.94,58518231.93,status,54935836.5
South Asia,South Asia,  All Products,Export (US$ Thousand),22511163.71,25069128.58,22717513.22,21535788.61,24390996.12,29009757.95,status,24205724.7
South Asia,Sub-Saharan Africa,  All Products,Export (US$ Thousand),29567671.86,30131546.81,22395998.67,19156349.75,20760178.6,21979228.45,status,23998495.69
